,시도교육청,폐교명,폐교연도,지역교육청,급별,활용현황,주소
118,강원,쌍룡초 후탄분교장,1994,영월,초,대부,강원도 영월군   한반도면  후탄리 911
119,강원,안미초 선애분교장,2005,평창,초,대부,강원도 평창군 대화면 상안미리 888-1
120,강원,약수초 입탄분교장,2001,평창,초,미활용,강원도 평창군 평창읍 입탄리 368-2
121,강원,약수초등학교,2016,평창,초,대부,강원도 평창군 평창읍 약수리 160
122,강원,양구초 서호분교장,1991,양구,초,대부,강원도 양구군 양구읍 상무룡1리 828
123,강원,양구초 월명분교장,1999,양구,초,대부,강원도 양구군 양구읍 월명리 230
124,강원,여량초 구절분교장,2013,정선,초,대부,강원도 정선군 여량면 구절리276-1
125,강원,여량초 남곡분교장,1994,정선,초,대부,강원도 정선군 여량면 남곡리 226
126,강원,여량초 자개분교장,1991,정선,초,대부,강원도 정선군 여량면 구절리 377-1
127,강원,연곡초 삼산분교장,1999,강릉,초,미활용,강원도 강릉시 연곡면 삼산리 739
128,강원,연곡초 퇴곡분교장,2000,강릉,초,대부,강원도 강릉시 연곡면 퇴곡리 225
129,강원,연상초 화라분교장,1994,영월,초,미활용,강원도 영월군 산솔면 화원리 441-1
130,강원,영월초 연상분교장,2019,영월,초,대부,강원도 영월군 중동면 연상리 70-2
131,강원,영월초 팔괴분교장,1997,영월,초,대부,강원도 영월군   영월읍  팔괴리 324-1
132,강원,예미초 고성분교장,2013,정선,초,자체활용,강원도 정선군 신동읍 고성리 812
133,강원,오안초 삼마치분교장,1998,홍천,초,대부,강원도 홍천군 홍천읍 삼마치리 681-1
134,강원,옥계초 남양분교장,2011,강릉,초,대부,강원도 강릉시 옥계면 남양리 528
135,강원,옥계초 북동분교장,1995,강릉,초,대부,강원도 강릉시 옥계면  북동리 18
136,강원,옥계초 산계분교장,1995,강릉,초,대부,강원도 강릉시 옥계면 산계리 816-1
137,강원,옥동초 각동분교장,1993,영월,초,대부,강원도 영월군   김삿갓면  각동리 18-1
138,강원,옥동초 대야분교장,1993,영월,초,대부,강원도 영월군   김삿갓면  대야리 764
139,강원,왕산초 고단분교장,2010,강릉,초,대부,강원도 강릉시 왕산면 고단리 32-18
140,강원,왕산초 매지분교장,1994,강릉,초,대부,강원도 강릉시 왕산면 대기리 1133-1
141,강원,왕산초 송현분교장,1993,강릉,초,대부,강원도 강릉시 왕산면 송현리 138-1
142,강원,용둔초등학교,1996,횡성,초,대부,강원도 횡성군 우천면 용둔리 75-2
143,강원,용암초등학교,1998,원주,초,대부,강원도 원주시 귀래면 용암리 906
144,강원,용전초 도원분교장,1996,평창,초,대부,강원도 평창군 용평면 도사리 210-1
145,강원,원당초 광원분교장,1994,홍천,초,대부,강원도 홍천군 내면 광원리 782-22
146,강원,원당초 명개분교장,1994,홍천,초,대부,강원도 홍천군 내면 명개리 178
147,강원,원당초 생둔분교장,1993,홍천,초,대부,강원도 홍천군 내면 율전리 221-4
148,강원,유현초 금대분교장,2002,횡성,초,대부,강원도 횡성군 서원면 금대리 204-10
149,강원,율전초 광문분교장,1999,홍천,초,대부,강원도 홍천군 내면 방내리 169-2
