노선명,Unnamed: 0,ac_monthly_1,ac_monthly_2,ac_monthly_3,ac_monthly_4,ac_monthly_5,ac_monthly_6,ac_monthly_7,ac_monthly_8,ac_monthly_9,ac_monthly_10,ac_monthly_11,ac_monthly_12,solared_mon_1,solared_mon_2,solared_mon_3,solared_mon_4,solared_mon_5,solared_mon_6,solared_mon_7,solared_mon_8,solared_mon_9,solared_mon_10,solared_mon_11,solared_mon_12,solrad_annual,ac_annual,lat,lng,면적
동해중부 미건설선,64700076,48980569.35781441,42937853.54156878,52385797.0543226,50024318.08505259,52648937.32940808,44777491.20173245,41896216.22113499,41748460.04114438,43732183.2043099,45930116.47109963,34254375.81728312,43898396.52787505,23415.278819873,23110.702212175,26169.786932173,26093.443210101,27185.902804695,24005.338184772,22044.090684474,22265.457340352,23800.710533983,23630.140435619,17709.909486014,21227.010275683,23388.147380619,543214723.5674406,176495.20096986,621386.8633355,2465277
문경선,96772,80106.0463217,79713.23791160001,93588.301885,83839.92589720001,89021.3001704,77974.0176313,66728.7324241,69709.7470129,70991.0242325,78749.8733551,51626.317563900004,68683.5031656,38.623917582000004,44.52244568,47.113543514,44.428682326,46.056424140000004,42.525685308,35.363162042,37.060874938,38.168768882,40.44545746,26.612353326,31.24766588,39.347412108,910732.0019100001,293.43064268,1024.9852905,4109
산재 유휴부지,5586922,6598953.5148882,6112364.59221947,7555247.8927954,6862620.69631408,7066541.3470613,5958825.82111544,5724457.60746638,6009273.7262131,5866175.38757058,6436553.28807685,4696305.42944727,5847172.31267923,1935.995953543,1998.076791746,2235.696687663,2171.765949294,2209.516164814,1939.788620483,1806.155898778,1901.141639253,1898.382143483,1954.0199336829999,1475.731034989,1687.236290451,1934.458951483,74734490.79980929,14164.61833863,50415.1679471,334608
삼학도선,271643,174228.51151294002,180776.29772596,248060.37307417,238261.2385748,253515.76434363,203631.83902722,192438.35313001001,212821.47671330997,212006.59048627,221069.13493159998,143839.98514953998,126113.24003695,70.322771306,81.235133648,104.575481416,105.156256195,111.38900327,92.290660857,86.97712993600001,95.56796837499999,98.52851629700001,96.123137471,63.660104984,51.847129345,88.139446743,2406762.9829434,660.97563925,2401.4407277,11511
수여선,483973,1592495.55892637,1451342.0376808401,1835450.72874741,1603890.15042469,1693573.97961931,1576404.7895414599,1294863.64431548,1522677.91858307,1379925.18822376,1552736.54826986,1051056.82472437,1219349.00409087,1177.823056279,1205.93828679,1421.368281819,1297.243109726,1342.372941446,1326.544058247,1049.623997185,1260.085543586,1144.552112615,1216.710258526,824.096287058,887.571936892,1179.494162516,17773766.0525151,8871.26772328,30329.4637936,79599
수인선,104472,748820.4388194,724029.5864367,905209.1553431,793888.6982179,855615.9563728999,765345.9254488,677266.3933472,744520.9225353,725096.8075471,796951.3350824,500119.59902086,697039.2395535,220.444045073,244.66640711899998,290.495903976,268.976222982,279.06731843299997,261.556696891,225.087769522,246.50281906700002,250.079934114,263.521211159,167.34252000200001,203.117790943,243.4048872,8933904.180980999,1792.5975990700001,6087.4243609,38634
수인선(선로상부),919877,1459373.5066036,1502979.19703358,1925304.62493722,1792367.59039996,1869544.60568952,1658686.53193104,1345468.98986622,1428309.0213834,1614928.08178993,1763047.54180404,1135992.29137167,1317346.74671358,206.29919434599998,238.14124488000002,285.475742804,277.07243631899996,285.94992591199997,267.126357547,208.594073303,223.54067372000003,260.030878044,267.799493801,172.067067375,185.689365169,239.815532215,18813348.7113077,1834.26276746,6206.2767649,84005
영동선,3251846,13240562.76637112,12879522.55419603,13633503.4804509,13108009.171665471,13298056.88108705,11294496.02594314,9690003.918095151,10033748.14568394,10408052.26372652,11914846.94493199,8410094.99899588,11193962.85436273,959.104609555,1058.649847943,1028.770917467,1036.33137612,1029.197387665,915.2871622969999,759.523111788,795.552013438,843.27416371,925.2266845099999,654.8624493660001,813.4056916479999,901.59876351,139104856.6854314,6733.0680252600005,23355.2186373,617096
임항선,790265,1445225.814073,1269507.6628686,1690043.248257,1460856.9440369,1508667.3269955,1254605.2265192,1249320.9800481,1340998.9182886,1323177.1798544999,1372596.8620835,1014175.4615823,1292217.5505949,335.71305373399997,332.793836575,408.533004761,371.379507567,376.860819842,324.62147427,317.958742612,342.220103245,341.772584464,338.751639394,252.402748366,299.935404313,336.911915285,16221393.90596,2358.75990945,8614.1079131,71922
장항선,18502146,26891820.42590808,26917787.43341905,35086583.56238098,31186806.6593798,33385174.86710875,29322334.295269288,25226197.60861369,27891795.54267003,28229112.04484323,29998756.6357226,18769216.8808189,23698572.56922907,6331.379929262,7160.058672063,8679.86879931,8047.347902149,8484.998762599,7820.550352497,6537.133221704,7316.348366164,7494.1421824789995,7525.834463481,4868.369555746,5602.836170165,7155.739148104,336604163.2694781,52630.3556064,182882.9520272,1507657
전라선,12582409,26234394.38826218,25517146.92616076,32830505.43269787,29385784.456871748,31364609.37286587,25815800.92696518,24627542.84107259,26253944.2166706,26738528.3542161,28723807.58889463,20500658.08700063,22761590.57542806,3765.20979592,4154.176178906,5012.55197999,4678.071849898,4913.588141429,4149.171048176,3953.753541983,4195.947942623,4391.401443985,4506.185241261,3109.845197233,3344.1223295219997,4181.168686347,320754318.8684192,30065.42204083,108836.901746,1440976
중앙선,14967302,49140598.1090096,46700661.19754752,54692393.3274399,49181306.39008174,51616255.91395934,47190615.15126722,40005178.08700957,44271169.35536939,43320369.0335019,48403814.23405939,35015153.87943154,42728964.24753018,11425.716452251,12275.824184817,13325.964631795,12505.949520925,12932.424720494,12488.272998653,10266.141000357,11488.753106245,11349.472907833,12101.131058169,8681.578042614,10002.607467403,11570.319649359,552266489.4042896,85874.83635443,293854.9659058,2433205
태백선,3284248,4825265.27061535,4643983.38905596,5059724.844414,4785246.46088087,5002619.7546926,4568913.581823,3719936.15369084,3915501.01064595,4028111.33224199,4597061.93127642,3068721.52787162,4418473.15947107,907.999712499,982.710156399,996.279438446,977.841179376,1012.661037446,978.553754311,771.090262415,811.833560965,849.708570946,921.67426586,618.248757588,838.830948864,888.952661487,52633559.6878584,6541.59316813,22572.286082900002,230289
호남고속선,132021,181114.7954298,166308.7167262,226559.146352,202003.4857495,217549.70077260002,182088.47712270002,152638.4168829,167732.2455005,175451.6189893,181628.7019563,108946.2635268,149462.2350411,32.83612919,34.534516811,43.277407167999996,40.143881795,42.792495727,37.788141728,30.948191642,34.056769849999995,36.148915768,35.398546218999996,22.982857703,27.774679183,34.890213488,2111483.925543,254.20772864,889.6280157,9463
호남선,1865957,10620068.62133394,11007636.59558996,14090723.948002169,13015671.9942828,13563748.62875863,11410503.21009722,10910017.59305001,11918216.34000731,11722802.22087527,12495322.4057576,8058895.67339554,8303237.55803895,487.058214181,561.824657429,683.178290362,667.085670926,693.916752812,598.828079684,557.307106982,611.934074881,622.789734847,619.951534275,412.32514737,378.259945131,574.538280496,137116845.9256534,4203.15665153,15186.7362983,627629
